2026-06-09 00:07:02 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:02 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:02 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:02 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:07 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:07 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:07 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:08 | INFO     | server.app:log_requests:49 | POST /chat/conversations/switch → 200 (0.00s)
2026-06-09 00:07:08 | INFO     | server.app:log_requests:49 | GET /chat/history → 200 (0.00s)
2026-06-09 00:07:08 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:09 | INFO     | server.app:log_requests:49 | OPTIONS /chat/conversations/4d4a59c8-677d-42df-a17f-9741113bb319 → 200 (0.00s)
2026-06-09 00:07:09 | INFO     | server.app:log_requests:49 | DELETE /chat/conversations/4d4a59c8-677d-42df-a17f-9741113bb319 → 200 (0.00s)
2026-06-09 00:07:09 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:09 | INFO     | server.app:log_requests:49 | OPTIONS /chat/conversations/d76b9422-b1d4-4f86-800b-fe995af858aa → 200 (0.00s)
2026-06-09 00:07:09 | INFO     | server.app:log_requests:49 | DELETE /chat/conversations/d76b9422-b1d4-4f86-800b-fe995af858aa → 200 (0.00s)
2026-06-09 00:07:09 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:10 | INFO     | server.app:log_requests:49 | POST /chat/conversations/switch → 200 (0.00s)
2026-06-09 00:07:10 | INFO     | server.app:log_requests:49 | GET /chat/history → 200 (0.00s)
2026-06-09 00:07:10 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:10 | INFO     | server.app:log_requests:49 | OPTIONS /chat/conversations/99562fb7-b8ea-4435-90cc-4765ec18e3db → 200 (0.00s)
2026-06-09 00:07:10 | INFO     | server.app:log_requests:49 | DELETE /chat/conversations/99562fb7-b8ea-4435-90cc-4765ec18e3db → 200 (0.00s)
2026-06-09 00:07:10 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:11 | INFO     | server.app:log_requests:49 | POST /chat/conversations/switch → 200 (0.00s)
2026-06-09 00:07:11 | INFO     | server.app:log_requests:49 | GET /chat/history → 200 (0.00s)
2026-06-09 00:07:11 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:11 | INFO     | server.app:log_requests:49 | OPTIONS /chat/conversations/cddb54bb-66c4-4b97-b242-841cf9393394 → 200 (0.00s)
2026-06-09 00:07:11 | INFO     | server.app:log_requests:49 | DELETE /chat/conversations/cddb54bb-66c4-4b97-b242-841cf9393394 → 200 (0.00s)
2026-06-09 00:07:11 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:12 | INFO     | server.app:log_requests:49 | POST /chat/conversations/switch → 200 (0.00s)
2026-06-09 00:07:12 | INFO     | server.app:log_requests:49 | GET /chat/history → 200 (0.00s)
2026-06-09 00:07:12 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:13 | INFO     | server.app:log_requests:49 | POST /chat/conversations/new → 200 (0.00s)
2026-06-09 00:07:13 | INFO     | server.app:log_requests:49 | GET /chat/conversations → 200 (0.00s)
2026-06-09 00:07:13 | INFO     | server.app:log_requests:49 | POST /chat/conversations/new → 200 (0.00s)
